"","null_perEstimate","null_perEst.Error","null_perl.95..CI","null_peru.95..CI","null_perEff.Sample","null_perRhat","term","null_per_vidEstimate","null_per_vidEst.Error","null_per_vidl.95..CI","null_per_vidu.95..CI","null_per_vidEff.Sample","null_per_vidRhat","me_perEstimate","me_perEst.Error","me_perl.95..CI","me_peru.95..CI","me_perEff.Sample","me_perRhat","me_per_vidEstimate","me_per_vidEst.Error","me_per_vidl.95..CI","me_per_vidu.95..CI","me_per_vidEff.Sample","me_per_vidRhat","int_perEstimate","int_perEst.Error","int_perl.95..CI","int_peru.95..CI","int_perEff.Sample","int_perRhat","int_per_vidEstimate","int_per_vidEst.Error","int_per_vidl.95..CI","int_per_vidu.95..CI","int_per_vidEff.Sample","int_per_vidRhat"
"veh_volume2_ST2",NA,NA,NA,NA,NA,NA,"veh_volume2_ST2",NA,NA,NA,NA,NA,NA,-0.667438627523181,0.0745642981195464,-0.812030048575999,-0.524421410126193,1284.49105154415,1.0007071293417,-0.747512499818355,0.586412862063954,-1.92059895959094,0.396297801338007,666.479744475046,1.00133413026705,0.57179199760733,0.110424523283477,0.357049627413864,0.792045932244013,1418.65569381607,0.999270017319715,0.0846511332124663,0.932736144311278,-1.87854301325104,1.81860900290645,1575.56984757415,1.0001507096848
"veh_volume2_ST3",NA,NA,NA,NA,NA,NA,"veh_volume2_ST3",NA,NA,NA,NA,NA,NA,-0.798137135291038,0.0828593816774123,-0.956168938840767,-0.633475745599209,1116.25692434949,1.00170729890215,-0.919868930604226,0.617002075846267,-2.16784237596824,0.283799964588984,794.099733135045,1.00063244521743,0.869626166616589,0.144722933992632,0.592849270425468,1.15170052650868,1134.72733076837,1.00000976411186,0.369302247218111,1.20462309787904,-2.13937843267961,2.63315248186207,1347.58315176132,0.999242774766557
"bike_operating_space_ST",NA,NA,NA,NA,NA,NA,"bike_operating_space_ST",NA,NA,NA,NA,NA,NA,0.434014188016458,0.154251245523227,0.123894479954492,0.729807199108117,1159.4862505036,1.00030095617685,0.727629284523074,1.21148706067015,-1.70308650735022,3.14174250261815,796.848569867115,1.00515078316382,1.41095502193208,0.315779612105406,0.779871318291039,2.02578702095984,1925.19654504689,1.00048795031926,0.972486230980676,2.28646649091696,-3.83444267595632,5.44177343034893,2360.15254377098,1.00048230750835
"usual_mode_4levBike",NA,NA,NA,NA,NA,NA,"usual_mode_4levBike",NA,NA,NA,NA,NA,NA,0.171510536380057,0.0819622310017201,0.0107421142973853,0.331069020165423,656.746976880702,1.00037524845679,0.189482057341972,0.0827340976893769,0.024991761987695,0.349815998343301,627.296741199286,1.00033561893039,0.179900105781,0.0820506372597157,0.0129310223867026,0.34388647590509,881.254337028398,1.00038640235362,0.185760171774632,0.0817956873810605,0.0268843868334205,0.348210166513948,1163.90315044522,1.00010224955567
"speed_limit_mph_ST_3lev.30.40.",NA,NA,NA,NA,NA,NA,"speed_limit_mph_ST_3lev.30.40.",NA,NA,NA,NA,NA,NA,-0.117752877474253,0.0526881387005479,-0.224435791776284,-0.0172604090758047,2072.55289730213,1.00178101450533,-0.150107806410824,0.489687240372854,-1.15102235755357,0.817846429262334,724.609574757289,1.00437259728014,1.0720611153057,0.0977800080474293,0.882029710285622,1.26679005379762,1798.40361897006,1.00001332288727,0.871178083707911,0.876671456065656,-0.961783455851371,2.59265912096956,1639.44531049878,1.00072681171998
"speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,"speed_limit_mph_ST_3lev.40.50.",NA,NA,NA,NA,NA,NA,-0.649955589432842,0.0767047824261431,-0.803452606057329,-0.501786117750777,1897.02234493296,1.00188737195197,-0.751981739623904,0.661414751053513,-2.03518231382998,0.533017669434045,788.444988722091,1.00155991867323,-0.842605233121056,0.387254030578598,-1.57173564287699,-0.0697681148257495,1097.49313360012,1.0010081221152,-0.469548923802425,2.43743171031761,-5.18807111822295,4.34397785083785,1728.93746092678,1.00263205914643
"child_u18TRUE",NA,NA,NA,NA,NA,NA,"child_u18TRUE",NA,NA,NA,NA,NA,NA,-0.216650082259382,0.120523227327719,-0.455476652797449,0.0166833573746915,649.32381288019,1.00594277115664,-0.212308654402895,0.116502924894123,-0.43276877358994,0.0175022071748553,786.776937935997,1.00063226728475,-0.230307940509549,0.120455210029003,-0.464766686973912,0.00799612952199983,871.040363538663,1.00143612764224,-0.214353195948592,0.120376903275233,-0.453205869918789,0.0239787159219006,1286.57679545414,1.00203311272655
"bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,"bike_lane_SUM_ST1",NA,NA,NA,NA,NA,NA,1.82648865922862,0.0663198608761697,1.69454673854013,1.95299095092992,1837.76819082636,0.99981741291533,1.88762030480401,0.55190022364406,0.789680675051106,2.97744414906484,1007.19009344847,1.00109932564842,3.04679345170837,0.214212863890297,2.63462483495818,3.46757083306193,1009.58378667126,1.00180976085297,2.27728016412114,1.39255296904697,-0.605459346370518,4.91145471761404,1534.61125910157,1.00113662579167
"bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,"bike_lane_SUM_ST2",NA,NA,NA,NA,NA,NA,2.98513193357066,0.0948526045945934,2.80626543100337,3.17007178783612,1550.31278421854,1.00013843081043,2.9661148648147,0.779543556731654,1.45640558331999,4.4809719422058,965.678602591846,1.00334808219837,4.35537715183046,0.303825150298585,3.75473909349496,4.95622232679382,884.741992767985,1.00048495223423,3.35447432894195,1.84459852589201,-0.263609605583727,6.93727058717877,1607.61662412009,1.00024916116827
"speed_prevail_minus_limit_ST",NA,NA,NA,NA,NA,NA,"speed_prevail_minus_limit_ST",NA,NA,NA,NA,NA,NA,-1.07200963445514,0.0899203807019956,-1.25069826895754,-0.905659814890448,2334.13666897768,1.00034519866352,-1.12698069608813,0.81222040827072,-2.73037663820322,0.440714786848104,1348.4577293297,0.999271429802483,-0.80358782141658,0.110313594188416,-1.0154302498101,-0.587917040298834,2193.49023536052,0.999937946990335,-0.998090108714433,1.04290833838168,-3.09726897242077,1.01850804960664,2425.68992937211,1.0007940661532
